period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
2021-11-01,2021-11-30,30,national,11,1400,f, National,National,U.S.,US,Single Units Only,-2,383313.0,0.0065868758942426,0.1439220241790573,374897.0,-0.0213211061445539,0.1413002611254659,211.0,0.0079781733298684,0.1775210153580637,210.0,-0.0067284647065101,0.1439091279580191,577144.0,-0.0343608697643842,0.0061537092893799,592888.0,-0.1091181419333265,0.0199023653826269,479162.0,-0.2142217312598031,0.010691046352917,769153.0,-0.1357443172712534,-0.1984501135736767,1.3326888252586568,-0.1563340458832809,-0.3401824801579094,22.0,1.0,-5.0,1.0068590710517402,-0.0012420196035201,0.0109881997464846,0.4462269924196597,-0.0158619717459235,0.0919822623226712,0.0999787875786719,-0.0191614012990784,-0.020771354038125,0.4945479467909134,-0.0203414472611036,0.0423854776839557,,,2024-08-14 14:07:01
2021-08-01,2021-08-31,30,national,11,1400,f, National,National,U.S.,US,Single Family Residential,6,398899.0,-0.0122192377881429,0.1593998730068635,392691.0,-0.0112077003673463,0.1308481451765546,202.0,-0.0028541230199253,0.2068512511011608,201.0,0.0047373850058147,0.1527606877098695,513883.0,-0.0069942243235505,-0.0162095334485656,574562.0,0.0458498416553203,-0.0751304823888231,552106.0,-0.0950240181742062,0.0210459424206324,706751.0,-0.0034643994642632,-0.1653627634987335,1.3753147705943511,0.004871497078458,-0.2457746088944619,16.0,2.0,-15.0,1.0192217710797518,-0.0073023078895666,0.0254031776046897,0.5440736889846052,-0.0386804011141459,0.2036131209181302,0.1284663512381954,0.0132735058219562,-0.0015226813500143,0.5647830246632047,-0.0316108664194345,0.0774497105438072,,,2024-08-14 14:07:01
2014-02-01,2014-02-28,30,national,11,1400,f, National,National,U.S.,US,Multi-Family (2-4 Unit),4,187709.0,-0.081796851201322,0.068244976621044,221995.0,0.0456175124582758,0.1486689059164643,90.0,-0.062150073687008,0.1111914955137205,104.0,0.0232093068171637,0.1750255992915921,7108.0,0.0022617888045755,-0.0117210840626527,9563.0,0.0316637052134407,-0.030954750063764,11793.0,0.0076736275053552,-0.0072694592184597,48944.0,-0.0022810133320111,0.0275962128256719,6.885100909701741,-0.0313491589727723,0.2634337818630534,82.0,9.0,0.0,0.9455784218412036,-0.0040646070121992,-0.0049937070563588,0.2027078891932569,-0.0023255672769122,-0.0288614553497257,0.0595463858418923,0.0011106228729236,0.0172082966868259,0.2123243515296626,0.0395240581763809,0.0101077802903206,,,2024-08-14 14:07:01
2018-01-01,2018-01-31,30,national,11,1400,f, National,National,U.S.,US,Condo/Co-op,3,237195.0,-0.0297608950555463,0.0716147406410996,256001.0,0.0585767631187434,0.0481952545901924,203.0,-0.0186480964046298,0.0723876221270671,219.0,0.0562910215096181,0.0889375599245245,42384.0,-0.2203136852444441,-0.0137019491044674,58258.0,0.2169688543077108,0.0113543869358017,64933.0,0.7138313336745001,0.0016918975824606,141144.0,0.0381382361036504,-0.0964508421318862,3.3300603078060624,0.8290422747434318,-0.3049737823182381,48.0,3.0,-7.0,0.9779400424528796,-0.0013706007166152,0.0043269479190889,0.1864460741648676,-0.0143808794402885,0.019471458217285,0.0888342607559432,0.025152679291572,0.0008660377713952,0.3466239747419489,0.0688549699176617,0.0356551698675226,,,2024-08-14 14:07:01
2015-12-01,2015-12-31,30,national,11,1400,f, National,National,U.S.,US,Single Family Residential,6,245627.0,0.0195855238868238,0.0769268917271419,237934.0,-0.0288081104565367,0.090333885405099,124.0,0.0050357406577998,0.0774043792579222,122.0,-0.0219732454425289,0.0748822010248344,376156.0,0.242117336435971,0.0954228403902486,348476.0,-0.0743102647983986,0.0531595219345701,259603.0,-0.2182340270504648,0.0317689919426842,1263038.0,-0.1059142083292374,-0.0707807641474932,3.3577500723188214,-1.3070367021724634,-0.6005796518452974,62.0,3.0,-8.0,0.9740429420218476,0.0002622662657059,0.0043838553640238,0.1941339842783239,-0.0038264149226758,0.0218484291866773,0.0943030024940966,-0.0234266238270291,0.021361649929428,0.1677318955212693,-0.0362376648499855,0.0458010075089948,,,2024-08-14 14:07:01
2015-03-01,2015-03-31,30,national,11,1400,f, National,National,U.S.,US,All Residential,-1,225522.0,0.0483305943438141,0.0763096211345279,252444.0,0.0202648762058466,0.0655806715208282,122.0,0.0368901803137378,0.0609928085056696,132.0,0.0094633954875715,0.0570263640182651,454720.0,0.3679135883743316,0.1680507820558454,639945.0,0.3072356902141499,0.2631630023244617,706967.0,0.3434231406734897,0.0924013302027439,1804358.0,0.037167162937312,-0.0032980506995251,3.96805942910669,-1.265390497306,-0.6821721899496332,67.0,-9.0,-3.0,0.97460859253076,0.0044685257417218,0.0025122363949665,0.2011771227323432,0.0198637247038519,-3.795823857460912e-05,0.0973961908297361,0.0146331440586405,0.0309285733535704,0.2646834190926372,0.0354260087159148,0.0278711704310224,,,2024-08-14 14:07:01
2014-08-01,2014-08-31,30,national,11,1400,f, National,National,U.S.,US,Multi-Family (2-4 Unit),4,224044.0,-0.0190565720284593,0.0950783480224535,220592.0,0.0101121748297734,0.0904537986419884,101.0,-0.0602754090196349,0.0404077584273425,102.0,0.0023378102572386,0.0716327427634073,9448.0,-0.0159157287278729,-0.0858276463643229,11716.0,0.0671836519487527,-0.0404617080301239,14873.0,-0.0751303073604884,-0.0358240339728367,59353.0,0.010270580505995,0.0374001809051662,6.281866565237193,0.162826576975851,0.7461930143058195,57.0,5.0,-1.0,0.9588685987415664,-0.0028875013627904,-0.0034101451508981,0.2214042774217734,-0.0170031567594278,-0.0339757204589886,0.072483260210964,-0.0024216514968722,0.0174445864331796,0.186459557491655,-0.020894549388949,-0.0017913337889592,,,2024-08-14 14:07:01
2024-07-01,2024-07-31,30,national,11,1400,f, National,National,U.S.,US,Single Family Residential,6,460115.0,-0.0094117650982756,0.0441930587486076,466089.0,-0.0161385704909492,0.0578080949191241,235.0,0.0018757845413417,0.0474161438507438,239.0,-0.0002965647724754,0.0606934974088959,368925.0,0.0205030907901917,0.0605715710879903,396001.0,-0.0303814744723671,-0.0086699026696083,432618.0,-0.0570692730179052,0.0367672635896774,905555.0,-0.0303763261587743,0.1647790882608948,2.4545753105159664,-0.128799826185793,0.2195997519192136,34.0,2.0,5.0,0.9968738387319978,-0.0028387935428891,-0.0050693558217723,0.3389928088519018,-0.0187098871388198,-0.0472802005751249,0.2230339934743457,0.026069280971422,0.0598242302991977,0.4059331903402986,-0.0368599415088479,-0.0596292132203762,,,2024-08-14 14:07:01
2015-03-01,2015-03-31,30,national,11,1400,f, National,National,U.S.,US,Single Units Only,-2,225211.0,0.0458029815861922,0.0691032576159114,251635.0,0.0108889414721642,0.0654785827582304,122.0,0.0363597565054567,0.0609201758333524,132.0,0.0090885672239722,0.0563173033797432,445967.0,0.3710481057842824,0.1694043000819183,627074.0,0.306326099099023,0.265757962344026,691512.0,0.3445050848599688,0.0927602823331101,1755148.0,0.0380346348861384,-0.0034130261456062,3.9355981478339057,-1.262585230996879,-0.6824688329851937,67.0,-9.0,-3.0,0.9750212678990448,0.0044560844894152,0.0025124073363825,0.2008369695040578,0.0199621715427848,-5.978580945645296e-05,0.0981124905946724,0.0146479266573181,0.0314320096999143,0.2651700578673254,0.0350628533544816,0.0282598937423607,,,2024-08-14 14:07:01
2016-06-01,2016-06-30,30,national,11,1400,f, National,National,U.S.,US,Condo/Co-op,3,223492.0,0.0261469190592309,0.0789477416274124,237188.0,0.0031840765966149,0.0887255576557259,191.0,0.0379661789393248,0.0826274229593899,201.0,-0.0057964694630356,0.0814044579530448,75110.0,0.0994168174472036,0.0382764209987607,86743.0,0.0157120155227468,0.0569739870917749,81811.0,-0.0201462921009796,-0.0196060161525741,198690.0,-0.0068837268894686,-0.0955397199297292,2.6453078183090435,-0.2831467660313027,-0.3913769256805586,41.0,0.0,-3.0,0.9813026051735596,0.0009724231563515,0.0027584045072307,0.2217850197436109,-0.0012083731636738,0.0124743436372678,0.1083866992851716,0.0060356537215823,0.0014148411952966,0.3084281607665027,-0.0286754091698221,0.0376648137083028,,,2024-08-14 14:07:01
